file,invoice_no,pallets,boxes,gross_weight,net_weight,total_invoice
02347338.pdf,Number,7,0,874.744,791.98,23123.8
02347667.pdf,Number,2,0,409.347,390.275,16765.0
02347668.pdf,Number,12,0,1136.394,978.39,28702.34
02347669.pdf,Number,11,0,879.27,737.15,19484.41
02347729.pdf,Number,31,0,5450.94,4136.38,263112.17
02347838.pdf,Number,8,0,1472.104,1164.304,37298.39
02348010.pdf,Number,2,0,216.23,201.358,7673.8
02348013.pdf,Number,1,0,32.7428,1.1628,51.09
02348015.pdf,Number,1,0,153.081732,110.54173,3184.0
02348016.pdf,Number,1,0,169.34,126.8,4854.8
inv-211125.pdf,inv-211125,1,,191.0,180.0,808.88
TOTAL,,77,0,10985.1935,8818.3415,405058.68
