file,invoice_no,pallets,boxes,gross_weight,net_weight,total_invoice
DM043899.pdf,DM043899,11,0,2112.945,1292.895,30998.7
DM043904.pdf,DM043904,10,0,1654.3539,1065.2739,38216.97
DM043918.pdf,DM043918,12,0,2295.63,1401.03,28694.4
DM043921.pdf,DM043921,12,0,1462.6887,994.6887,30676.9
DM043922.pdf,DM043922,1,0,150.9635,97.7435,5142.75
DM043923.pdf,DM043923,4,0,761.501,605.501,12280.59
DM043926.pdf,DM043926,4,0,751.255,595.855,12127.1
DM043932.pdf,DM043932,10,0,1959.42,1213.92,34261.2
DM043933.pdf,DM043933,12,0,1612.793,1144.793,42674.14
DM043934.pdf,DM043934,2,0,448.6084,370.6084,8166.57
TOTAL,,78,0,13210.1585,8782.3085,243239.32
