file,invoice_no,pallets,boxes,gross_weight,net_weight,total_invoice
DM039411.pdf,DM039411,0,7,707.28,703.08,15768.74
DM039412.pdf,DM039412,7,0,1202.938,681.088,20435.66
DM039413.pdf,DM039413,8,0,1412.283,815.883,30797.24
DM039426.pdf,DM039426,8,0,1267.9315,671.5315,28252.44
DM039448.pdf,DM039448,9,0,1799.738,1128.788,28059.07
DM039449.pdf,DM039449,0,3,303.12,301.32,6758.03
DM039450.pdf,DM039450,13,0,2174.9925,1210.5825,51425.17
DM039454.pdf,DM039454,6,0,1064.4645,617.1645,16624.49
DM039456.pdf,DM039456,4,0,774.058,475.858,12188.66
DM039457.pdf,DM039457,2,0,345.5845,196.4845,6891.58
DM039462.pdf,DM039462,0,5,532.85,518.0,11263.4
DM039464.pdf,DM039464,1,0,218.55,144.0,3465.44
DM039465.pdf,DM039465,3,0,425.907,202.257,10814.0
TOTAL,,61,15,12229.6970,7666.0370,242743.92
